Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,487.200012,489.000000,481.600006,484.000000,484.000000,4815226
2017-10-31,495.000000,529.000000,493.299988,523.150024,523.150024,39655956
2017-11-01,524.950012,544.000000,524.500000,535.099976,535.099976,22542766
2017-11-02,534.000000,538.000000,526.299988,532.150024,532.150024,7800191
2017-11-03,535.349976,545.700012,534.099976,540.099976,540.099976,9303981
2017-11-06,539.049988,541.549988,530.750000,534.500000,534.500000,8013536
2017-11-07,535.500000,539.400024,523.000000,527.150024,527.150024,9642624
2017-11-08,537.700012,551.900024,533.599976,544.849976,544.849976,19642327
2017-11-09,548.950012,555.450012,533.000000,540.400024,540.400024,11290503
2017-11-10,534.950012,548.950012,532.450012,544.799988,544.799988,9869691
2017-11-13,557.000000,564.549988,534.049988,537.349976,537.349976,21701958
2017-11-14,537.349976,549.950012,532.599976,545.650024,545.650024,10644657
2017-11-15,546.500000,551.400024,537.099976,542.000000,542.000000,7814066
2017-11-16,544.000000,548.500000,541.200012,542.599976,542.599976,5176117
2017-11-17,550.000000,557.400024,540.549988,542.400024,542.400024,4373503
2017-11-20,542.250000,547.500000,536.750000,545.150024,545.150024,3458524
2017-11-21,547.000000,548.900024,539.150024,546.799988,546.799988,5770768
2017-11-22,546.549988,547.000000,539.000000,540.500000,540.500000,4536211
2017-11-23,542.400024,547.799988,535.549988,544.150024,544.150024,10724159
2017-11-24,544.950012,547.700012,541.049988,545.500000,545.500000,3947490
2017-11-27,544.099976,561.849976,540.950012,559.400024,559.400024,9301318
2017-11-28,559.500000,565.900024,558.000000,562.549988,562.549988,10113136
2017-11-29,560.549988,562.200012,546.799988,549.500000,549.500000,6387037
2017-11-30,547.150024,547.500000,534.150024,535.400024,535.400024,19370807
